[2026-01-03 18:01:36] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 19:34:34] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:34:34] IP: 192.168.0.105 | Status: ⬇️ DOWNLOAD | Path: /004.%20Permohonan%20Izin%20Mengikuti%20Tes%20Kemampuan%20Akademik%20%28TKA%29%20%281%29.pdf
[2026-01-03 19:34:36] IP: 192.168.0.105 | Status: ⬇️ DOWNLOAD | Path: /0074793113.jpg
[2026-01-03 19:35:20] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:35:20] IP: 192.168.0.105 | Status: ⬇️ DOWNLOAD | Path: /0086451711.jpg
[2026-01-03 19:35:36] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:35:50] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:38:37] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 19:38:42] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:38:54] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /00119%20-%20Surat%20Edaran%20Pembaruan%20Jadwal%20KBM%20dan%20Penyesuaian%20JP%20Guru%20%2B%20lampiran-1-2.pdf
[2026-01-03 19:39:11] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:39:46] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:57:51] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 19:57:58] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 20:02:48] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 20:02:52] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 20:02:58] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 20:02:58] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /favicon.ico
[2026-01-03 20:03:37] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 20:03:40] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 20:05:51] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 20:05:56] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 20:06:01] IP: 192.168.0.103 | Status: 🚪 LOGOUT | Path: Action
[2026-01-03 20:06:01] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 20:06:04] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:11:29] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 00:11:29] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /favicon.ico
[2026-01-04 00:11:44] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /Makefile
[2026-01-04 00:11:56] IP: 192.168.0.103 | Status: ✅ UPLOAD | Path: ⬆️ Uploaded: Rekap_Nilai_Sem1_2_3_4_5_20260103_1003.xlsx
[2026-01-04 00:11:56] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 00:11:57] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 00:12:17] IP: 192.168.0.103 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 00:12:18] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:12:20] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:12:43] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:30:19] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:30:24] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:30:32] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:30:39] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:30:50] IP: 192.168.0.103 | Status: 🚫 BLOCKED (300s) | Path: -
[2026-01-04 00:30:50] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:30:58] IP: 192.168.0.103 | Status: 🚫 BLOCKED | Path: /
[2026-01-04 00:30:58] IP: 192.168.0.103 | Status: 🚫 BLOCKED | Path: /
[2026-01-04 00:31:00] IP: 192.168.0.103 | Status: 🚫 BLOCKED | Path: /
[2026-01-04 00:31:10] IP: 192.168.0.103 | Status: 🚫 BLOCKED | Path: /
[2026-01-04 00:31:12] IP: 192.168.0.103 | Status: 🚫 BLOCKED | Path: /
[2026-01-04 00:31:13] IP: 192.168.0.103 | Status: 🚫 BLOCKED | Path: /
[2026-01-04 00:31:47] IP: 192.168.0.103 | Status: 🚫 BLOCKED | Path: /
[2026-01-04 00:33:52] IP: 192.168.0.103 | Status: 🚫 BLOCKED | Path: /
[2026-01-04 00:34:26] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:34:37] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:34:39] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:35:06] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 00:36:34] IP: 192.168.0.103 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 00:36:34] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:36:41] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:37:02] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:38:10] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:54:05] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:54:08] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 00:54:16] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 00:54:17] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /favicon.ico
[2026-01-04 00:54:21] IP: 192.168.0.103 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 00:54:27] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 00:54:31] IP: 192.168.0.103 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 01:26:18] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:26:18] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:26:27] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /assets/
[2026-01-04 01:26:38] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /assets/demo.gif
[2026-01-04 01:26:41] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /assets/demo.mp4
[2026-01-04 01:28:38] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 01:28:42] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:28:49] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /assets/
[2026-01-04 01:28:55] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /assets/terminal.png
[2026-01-04 01:28:59] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:29:02] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /docs/
[2026-01-04 01:29:04] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/script.js
[2026-01-04 01:29:07] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/index.html
[2026-01-04 01:29:07] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/style.css
[2026-01-04 01:29:07] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/script.js
[2026-01-04 01:29:16] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/style.css
[2026-01-04 01:29:21] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:29:28] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /setup.py
[2026-01-04 01:29:32] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /assets/
[2026-01-04 01:30:06] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:33:23] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /README.md
[2026-01-04 01:33:28] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /README.md
[2026-01-04 01:33:36] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /assets/
[2026-01-04 01:33:43] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /assets/web.png
[2026-01-04 01:33:48] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /assets/
[2026-01-04 01:33:50] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:33:58] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:33:58] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /favicon.ico
[2026-01-04 01:34:20] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /assets/
[2026-01-04 01:34:23] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /assets/demo.mp4
[2026-01-04 01:34:23] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /assets/demo.mp4
[2026-01-04 01:34:27] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /assets/demo.gif
[2026-01-04 01:34:31] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:34:38] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /docs/
[2026-01-04 01:34:40] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/index.html
[2026-01-04 01:34:41] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/style.css
[2026-01-04 01:34:41] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/script.js
[2026-01-04 01:34:48] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/index.html
[2026-01-04 01:34:59] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/script.js
[2026-01-04 01:35:31] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /docs/
[2026-01-04 01:35:35] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /docs/
[2026-01-04 01:35:55] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/style.css
[2026-01-04 01:42:13] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /docs/
[2026-01-04 01:42:17] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /docs/
[2026-01-04 01:42:27] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-04 01:43:08] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /0071382647%20%282%29%20%281%29.jpg
[2026-01-04 01:43:11] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /0074793113.png
[2026-01-04 01:44:29] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /ilai%20kelas%2010%20dkv/
[2026-01-04 01:50:26] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /ilai%20kelas%2010%20dkv/
[2026-01-04 02:22:42] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:22:42] IP: 172.20.10.4 | Status: ⬇️ DOWNLOAD | Path: /favicon.ico
[2026-01-04 02:25:20] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:25:24] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:25:25] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:25:27] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:25:30] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:25:30] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:25:34] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:25:35] IP: 172.20.10.4 | Status: ⬇️ DOWNLOAD | Path: /favicon.ico
[2026-01-04 02:27:22] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:27:23] IP: 172.20.10.4 | Status: ⬇️ DOWNLOAD | Path: /favicon.ico
[2026-01-04 02:27:26] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:27:26] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:27:34] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:27:35] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:27:46] IP: 172.20.10.4 | Status: ⬇️ DOWNLOAD | Path: /access.log
[2026-01-04 02:29:08] IP: 172.20.10.4 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 02:29:12] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:29:26] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /docs/
[2026-01-04 02:29:28] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:29:35] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:30:02] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:30:03] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:30:05] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:30:06] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:30:08] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:31:58] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:32:03] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:32:04] IP: 172.20.10.4 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 02:32:08] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:32:10] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:32:13] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:32:15] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:32:17] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:32:20] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:32:20] IP: 172.20.10.4 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 02:34:15] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:35:38] IP: 172.20.10.4 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 02:36:05] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
[2026-01-04 02:36:07] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:36:08] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:37:06] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:37:09] IP: 172.20.10.4 | Status: 🚪 LOGOUT | Path: Action
[2026-01-04 02:37:52] IP: 172.20.10.4 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-04 02:38:08] IP: 172.20.10.4 | Status: 📂 BROWSE | Path: /
